,variant_id,title,type2,nivel_prenda,specific_color,color,tipo_marca,season,disponibilidad,basicos,formalidad,estampado,atrevido,invierno_verano,interesante,detalle,specific_type,stock,envios,ventas,satisfaction,tasa_mercado,interest,marca,feature_name,feature_value
165,4411bcee-e474-4a95-8813-3f7d901311eb,Ambrose Dress ward,Dress,nivel_1,white,white,Own production,7,proximamente,False,both,False,unknown,invierno,False,ward,dress,0.2,1271.0,264.0,0.2316340253583826,0.0108110407008888,0.1212225330296357,Own production,adventurous,false
981,09cee84b-6c11-40c0-aced-6375ad16370f,Closet Jacket colorado,Jacket,nivel_3,blue,blue,Own production,7,proximamente,True,both,False,unknown,invierno,False,colorado,jacket,5.6,607.0,132.0,0.0814681447568096,0.005163101263131,0.0433156230099703,Own production,adventurous,64
2347,0c3f0f84-28d8-4fad-936d-9dab99d02812,Lila Tshirt film ,Tshirt,nivel_2,blue_dark,blue,Own production,9,proximamente,True,both,False,unknown,invierno,True,film,tshirt,0.0,1367.8,611.6,0.4402423044440988,0.0116344150044656,0.2259383597242822,Own production,alerts,false
2336,258b97ce-8668-4bcb-91b3-d8a0a7eabdb3,Libra Top solid ,Top,nivel_2,blue_dark,blue,Own production,8,disponible,True,both,False,unknown,invierno,False,solid,top,1.2,1715.4,554.4,0.3098684489069533,0.0145910772764002,0.1622297630916768,Own production,adventurous,false
2233,2506c642-703d-4997-9225-de6907598982,Lallo Jacket film ,Jacket,nivel_3,ecru,brown,Own production,9,proximamente,False,both,False,unknown,invierno,True,film,jacket,0.0,1856.0,937.0,0.5127446048321099,0.0157870114404797,0.2642658081362948,Own production,detail,false
2962,627cf127-8e53-4eaa-a82c-f42b19e0a4de,Nudotto Scarf acrylic ,Foulard,nivel_3,khaki,brown,Own production,8,disponible,False,informal,False,atrevido,invierno,False,acrylic,foulard,3.0,4596.0,1473.0,0.3204960835509138,0.0390932675541189,0.1797946755525164,Own production,adventurous,boho
668,7a898b40-48a6-40b4-8142-c97e15880f2b,Candice Bag closet ,Bag,nivel_3,garnet,red,Own production,9,proximamente,False,informal,False,atrevido,invierno,True,closet,bag,0.0,6465.0,2265.0,0.3503480278422274,0.0549908561221451,0.2026694419821862,Own production,adventurous,boho
653,4de4fb0f-fda2-4b8e-9f31-030016166570,Callie Bag closet ,Bag,nivel_3,blue_dark,blue,Own production,9,proximamente,True,informal,False,atrevido,invierno,True,closet,bag,0.0,5982.0,2045.0,0.3418589100635239,0.0508824905371496,0.1963707003003368,Own production,style,boho
654,915904d1-6408-474d-ad8b-e5b6507be144,Callie Bag closet ,Bag,nivel_3,garnet,red,Own production,9,proximamente,False,informal,False,atrevido,invierno,True,closet,bag,0.0,5938.0,2331.0,0.3925564163017851,0.0505082294900693,0.2215323228959272,Own production,style,boho
2656,1c7cad51-0d24-40a9-a05d-39bff94e314e,Martin Shirt floral ,Shirt,nivel_2,rust,orange,Own production,9,proximamente,False,both,True,unknown,invierno,True,floral,shirt,0.0,972.4,418.0,0.4265643594313976,0.0082711691404754,0.2174177642859365,Own production,sleeve,60
667,448e1a39-b574-4b58-bf55-3c9b0eaa9381,Candice Bag closet ,Bag,nivel_3,blue_dark,blue,Own production,9,proximamente,True,informal,False,atrevido,invierno,True,closet,bag,0.0,6443.0,2111.0,0.327642402607481,0.054803725598605,0.191223064103043,Own production,adventurous,boho
2705,0c4fd1bc-f3c1-4f25-a0f6-4d95a8a46275,Mersey Top wdc ,Top,nivel_2,ecru,brown,Own production,9,proximamente,False,both,False,unknown,verano,True,wdc,top,0.0,1073.2,426.8,0.4158202072578379,0.0091285671756049,0.2124743872167215,Own production,alerts,64
669,6c4e8ffb-8afe-4c5c-91b7-0706822575a7,Candy Bag closet ,Bag,nivel_3,blue_dark,blue,Own production,9,proximamente,True,both,False,unknown,invierno,True,closet,bag,0.0,4310.0,1671.0,0.3877030162412993,0.0366605707480967,0.212181793494698,Own production,detail,automatic
2969,04a0d86d-2c43-4c63-b9c8-54091f67a0e5,Nudrayas Dress modal ,Dress,nivel_1,garnet,red,Own production,8,proximamente,False,both,False,basico,invierno,False,modal,dress,0.0,2106.8,593.8,0.2949610922841784,0.0179202994088376,0.156440695846508,Own production,application,straight
