,index,title,specific_color,type2,specific_type,color,tipo_marca,stock,envios,ventas,satisfaction,tasa_mercado,interest,season,disponibilidad,marca,feature_name,feature_value,variant_id,nivel_prenda
1033,1034,Columbine Tshirt knit ,blue_dark,Tshirt,tshirt,blue,NO_MAINSTREAM,0.2,123.2,66.0,0.3444444444444444,0.0010479309318249,0.2585953160662896,9,proximamente,NO_MAINSTREAM,application,47,1ce4722e-e43c-487e-bc66-1ea6ec8742b6,Nivel 2
1043,1044,Constance Top closet,blue_dark,Top,top,blue,OWN_PRODUCTION,6.6,378.4,154.0,0.3658817015178164,0.0032186450048909,0.2511996633640336,9,proximamente,OWN_PRODUCTION,composition,false,09d9ea4b-75ee-493c-b4fa-8ec5680f5bff,Nivel 2
1044,1045,Constella Pant closet ,blue_dark,Pant,pant,blue,OWN_PRODUCTION,0.4,972.4,475.2,0.4885270088052061,0.0082711691404754,0.2483990889728408,9,proximamente,OWN_PRODUCTION,detail,false,2f8d9966-7058-4b74-89b8-658aaaa724a9,Nivel 1
1049,1050,Conver Top crepe,blue,Top,top,blue,NO_MAINSTREAM,2.0,215.6,79.2,0.3981168831168831,0.0018338791306936,0.2990461321203358,8,proximamente,NO_MAINSTREAM,adventurous,false,00b019c6-7ecf-4e82-9bf2-2cbb633c69fc,Nivel 2
1068,1069,Coup Sweater soft,blue_dark,Sweater,sweater,blue,NO_MAINSTREAM,1.2,1464.6,589.6,0.4152623748565077,0.0124577893080423,0.2386916646110889,9,disponible,NO_MAINSTREAM,composition,50,0f9ae16a-3848-4f79-ab89-7528a0f4c54c,Nivel 2
1074,1075,Cressida Jacket film ,blue_turquoise,Jacket,jacket,blue,OWN_PRODUCTION,0.4,1002.8,184.8,0.2004636419073462,0.0085297495002764,0.1044966957038113,7,proximamente,OWN_PRODUCTION,adventurous,false,333ba329-961e-4313-896e-051b572ca48c,Nivel 3
1075,1076,Cressida Jacket film ,garnet,Jacket,jacket,red,OWN_PRODUCTION,0.2,809.6,224.4,0.2805396201542818,0.0068864032662782,0.1578022389462771,7,proximamente,OWN_PRODUCTION,adventurous,false,18909484-9ce7-4568-b62c-52f8c823efc9,Nivel 3
1078,1079,Crewn Sweater honey,mustand,Sweater,sweater,yellow,NO_MAINSTREAM,0.2,2005.4,704.0,0.3533374848681145,0.0170577978139752,0.1851976413410448,8,proximamente,NO_MAINSTREAM,composition,57,70e360df-91b0-4eb0-9da0-b5d6d81e1718,Nivel 2
1093,1094,Curvy Jeans print ,garnet,Jean,jean,red,MAINSTREAM,3.0,15702.0,5454.0,0.3473442873519297,0.1335601582103517,0.2404522227811407,8,disponible,MAINSTREAM,composition,false,cbac0bb3-d77b-43d7-9123-124fd517f28c,Nivel 1
1096,1097,Dahlia Jeans freeman ,green_light,Jean,jean,green,PREMIUM,2.0,827.0,303.6,0.3932298638628956,0.0070344064985327,0.2443773435819951,8,proximamente,PREMIUM,composition,false,3270dedb-c2fb-4697-98b8-3257b2c0e6bf,Nivel 1
